"['Required Courses', '11', '0']"
"['FM/ANS/PO 425', 'Feed Manufacturing Technology', '0']"
"['FM\xa0426', 'Feed Manufacturing Technology Laboratory', '0']"
"['FM\xa0460', 'Feed Mill Operations and Leadership', '0']"
"['FM\xa0480', 'Feed Quality Assurance & Formulation', '0']"
"['FM\xa0494', 'Feed Mill Learning Experience', '0']"
"['Elective Courses1', '4', '0']"
"['PO\xa0201', 'Poultry Science and Production', '0']"
"['ANS\xa0150', 'Introduction to Animal Science', '0']"
"['ANS\xa0225', 'Principles of Animal Nutrition', '0']"
"['ANS\xa0230', 'Animal Nutrition', '0']"
"['AEE\xa0350', 'Personal Leadership Development in Agriculture and Life Sciences', '0']"
"['AEE\xa0360', 'Developing Team Leadership in Agriculture and Life Sciences', '0']"
"['ARE\xa0304', 'Agribusiness Management', '0']"
"['ARE\xa0311', 'Agricultural Markets', '0']"
"['BAET\xa0201', 'Shop Processes and Management', '0']"
"['BAE\xa0202', 'Introduction to Biological and Agricultural Engineering Methods', '0']"
"['BAET\xa0333', 'Processing Agricultural Products', '0']"
"['BAET\xa0343', 'Agricultural Electrification', '0']"
"['BAET\xa0432', 'Agricultural and Environmental Safety and Health', '0']"
"['FS\xa0435', 'Food Safety Management Systems', '0']"
"['CS\xa0213', 'Crop Science', '0']"
"['CS\xa0214', 'Crop Science Laboratory', '0']"
"['CS\xa0216', 'Southern Row Crop Production - Cotton, Peanuts, and Tobacco', '0']"
"['CS\xa0218', 'Southern Row Crop Production - Corn, Small Grains and Soybeans', '0']"
