"['Math', '_', '_']"
"['MA\xa0141', 'Calculus I1,2', '4']"
"['MA\xa0241', 'Calculus II1,2', '4']"
"['MA\xa0242', 'Calculus III3', '4']"
"['MA\xa0341', 'Applied Differential Equations I', '3']"
"['ST\xa0370', 'Probability and Statistics for Engineers', '3']"
"['Sciences', '_', '_']"
"['CH\xa0101&CH\xa0102', 'Chemistry - A Molecular Scienceand General Chemistry Laboratory1,2', '4']"
"['CH\xa0201&CH\xa0202', 'Chemistry - A Quantitative Scienceand Quantitative Chemistry Laboratory', '4']"
"['CH\xa0220', 'Introductory Organic Chemistry', '3']"
"['orCH\xa0221', 'Organic Chemistry I', '3']"
"['CH\xa0222', 'Organic Chemistry I Lab', '1']"
"['PY\xa0205', 'Physics for Engineers and Scientists I1,2', '4']"
"['PY\xa0208', 'Physics for Engineers and Scientists II', '4']"
"['Economics', '_', '_']"
"['EC\xa0205', 'Fundamentals of Economics', '3']"
"['orEC\xa0201', 'Principles of Microeconomics', '3']"
"['orARE\xa0201', 'Introduction to Agricultural & Resource Economics', '3']"
"['Ethics Elective (verify requirement)', '_', '_']"
"['Required Courses', '_', '_']"
"['MSE\xa0201', 'Structure and Properties of Engineering Materials2', '3']"
"['MSE\xa0255', 'Experimental Methods for Structural Analysis of Materials', '2']"
"['MSE\xa0260', 'Mathematical Methods for Materials Engineers', '3']"
"['MSE\xa0270', 'Materials Science and Engineering Seminar', '1']"
"['MSE\xa0300', 'Structure of Materials at the Nanoscale', '3']"
"['MSE\xa0301', 'Introduction to Thermodynamics of Materials', '3']"
"['MSE\xa0320', 'Introduction to Defects in Solids', '3']"
"['MSE\xa0335', 'Experimental Methods for Analysis of Material Properties', '2']"
"['MSE\xa0355', 'Electrical, Magnetic and Optical Properties of Materials', '3']"
"['MSE\xa0360', 'Kinetic Processes in Materials', '3']"
"['MSE\xa0370', 'Microstructure of Inorganic Materials', '3']"
"['MSE\xa0380', 'Microstructure of Organic Materials', '3']"
"['MSE\xa0420', 'Mechanical Properties of Materials', '3']"
"['MSE\xa0423', 'Introduction to Materials Engineering Design', '1']"
"['MSE\xa0470', 'Materials Science and Engineering Senior Design Project', '3']"
"['MSE\xa0480', 'Materials Forensics and Degradation', '3']"
"['Electives', '_', '_']"
"['MSE Processing Elective\xa0(choose 1 course)', '3', '_']"
"['Engineering Elective (choose 1 course)', '3', '_']"
"['Technical Electives (choose 3 courses)', '9-11', '_']"
"['Technical Writing', '_', '_']"
"['ENG\xa0331', 'Communication for Engineering and Technology', '3']"
"['orENG\xa0333', 'Communication for Science and Research', '3']"
"['Orientation Courses', '_', '_']"
"['E\xa0101', 'Introduction to Engineering & Problem Solving1,3', '1']"
"['E\xa0102', 'Engineering in the 21st Century3', '2']"
"['E\xa0115', 'Introduction to Computing Environments1', '1']"
"['GEP Courses', '_', '_']"
"['ENG\xa0101', 'Academic Writing and Research1,3', '4']"
"['GEP Humanities', '6', '4']"
"['GEP Social Sciences', '3', '4']"
"['GEP Health and Exercise Studies', '2', '4']"
"['GEP Elective', '3', '4']"
"['GEP Interdisciplinary Perspectives', '3', '4']"
"['GEP Global Knowledge(verify requirement)', '_', '_']"
"['GEP Foundations of American Democracy(verify requirement)', '_', '_']"
"['World Language Proficiency(verify requirement)', '_', '_']"
