"['Exploring the Life Sciences', '_', '_']"
"['LSC\xa0103', 'Exploring Opportunities in the Life Sciences', '1']"
"['orALS\xa0303', 'Transfer Success in Agriculture and Life Sciences', '1']"
"['LSC\xa0101', 'Critical and Creative Thinking in the Life Sciences1, 2', '2']"
"['Communication', '3', '2']"
"['COM\xa0110', 'Public Speaking', '0']"
"['COM\xa0112', 'Interpersonal Communication', '0']"
"['ENG\xa0333', 'Communication for Science and Research', '0']"
"['Mathematics & Sciences', '_', '_']"
"['BIO\xa0181', 'Introductory Biology: Ecology, Evolution, and Biodiversity1', '4']"
"['BIO\xa0183', 'Introductory Biology: Cellular and Molecular Biology1', '4']"
"['BIO\xa0240', 'Principles of Human Anatomy & Physiology (A): Nervous, Skeletal, Muscular, & Digestive Systems', '3']"
"['CH\xa0101&CH\xa0102', 'Chemistry - A Molecular Scienceand General Chemistry Laboratory1', '4']"
"['CH\xa0201&CH\xa0202', 'Chemistry - A Quantitative Scienceand Quantitative Chemistry Laboratory', '4']"
"['CH\xa0220&CH\xa0222', 'Introductory Organic Chemistryand Organic Chemistry I Lab', '4']"
"['orCH\xa0221', 'Organic Chemistry I', '4']"
"['GN\xa0311', 'Principles of Genetics', '3-4']"
"['orGN\xa0301', 'Genetics in Human Affairs', '3-4']"
"['MA\xa0121', 'Elements of Calculus', '3']"
"['orMA\xa0131', 'Calculus for Life and Management Sciences A', '3']"
"['MB\xa0251&MB\xa0252', 'General Microbiologyand General Microbiology Laboratory', '4']"
"['ST\xa0311', 'Introduction to Statistics', '3']"
"['PSY\xa0200', 'Introduction to Psychology', '3']"
"['Major Required Courses', '_', '_']"
"['FS\xa0201', 'Introduction to Food Science1', '3']"
"['NTR\xa0301', 'Introduction to Human Nutrition1', '3']"
"['NTR\xa0302', 'Introduction to Nutrition Research, Communication, and Careers1', '3']"
"['NTR\xa0401', 'Advanced Nutrition and Metabolism1', '3']"
"['NTR\xa0402', 'Nutrition Communication for Diverse Audiences1', '3']"
"['NTR\xa0490', 'Senior Capstone Experience in Nutrition1', '4']"
"['Major Electives', '_', '_']"
"['Application Electives', '13-14', '_']"
"['Nutrition Electives1', '9', '_']"
"['GEP Courses', '_', '_']"
"['ENG\xa0101', 'Academic Writing and Research1', '4']"
"['GEP Humanities', '6', '4']"
"['GEP Social Sciences', '3', '4']"
"['GEP Health and Exercise Studies', '2', '4']"
"['GEP Interdisciplinary Perspectives', '3', '4']"
"['GEP Elective', '3', '4']"
"['GEP Global Knowledge(verify requirement)', '_', '_']"
"['GEP Foundations of American Democracy(verify requirement)', '_', '_']"
"['World Language Proficiency(verify requirement)', '_', '_']"
"['Free Electives', '_', '_']"
"['Free Electives (12 Hr S/U Lmt)3', '12', '_']"
